"Run 1: Time (s)","Run 1: Temperature (°C)","Run 1: Temperature (°C)"
10.32,0.3,0.4
10.33,0.2,0.4
10.34,0.3,0.4
10.35,0.6,0.5
10.36,-0.1,0.2
10.37,0.2,0.4
10.38,0.2,0.3
10.39,0.2,0.4
10.40,0.6,0.5
10.41,-0.1,0.2
10.42,0.3,0.4
10.43,0.3,0.4
10.44,0.3,0.4
10.45,0.6,0.5
10.46,-0.1,0.2
10.47,0.3,0.4
10.48,0.3,0.4
10.49,0.2,0.3
10.50,0.6,0.5
10.51,-0.1,0.2
10.52,0.3,0.4
10.53,0.3,0.4
10.54,0.2,0.3
10.55,0.6,0.5
10.56,-0.1,0.2
10.57,0.3,0.4
10.58,0.3,0.4
10.59,0.3,0.4
10.60,0.6,0.5
10.61,0.0,0.2
10.62,0.3,0.4
10.63,0.3,0.4
10.64,0.2,0.3
10.65,0.7,0.5
10.66,0.0,0.3
10.67,0.3,0.4
10.68,0.4,0.4
10.69,0.2,0.3
10.70,0.7,0.5
10.71,0.1,0.3
10.72,0.3,0.4
10.73,0.3,0.4
10.74,0.2,0.3
10.75,0.7,0.6
10.76,0.0,0.2
10.77,0.3,0.4
10.78,0.2,0.3
10.79,0.2,0.3
10.80,0.7,0.6
10.81,-0.0,0.2
10.82,0.3,0.4
10.83,0.3,0.4
10.84,0.2,0.3
10.85,0.7,0.6
10.86,0.0,0.2
10.87,0.3,0.4
10.88,0.4,0.4
10.89,0.2,0.3
10.90,0.8,0.6
10.91,0.0,0.2
10.92,0.3,0.3
10.93,0.2,0.3
10.94,0.2,0.3
10.95,0.8,0.6
10.96,0.0,0.2
10.97,0.3,0.4
10.98,0.2,0.4
10.99,0.3,0.3
11.00,0.8,0.6
11.01,0.0,0.2
11.02,0.3,0.4
11.03,0.3,0.4
11.04,0.2,0.3
11.05,0.8,0.6
11.06,0.0,0.2
11.07,0.3,0.4
11.08,0.4,0.4
11.09,0.2,0.3
11.10,0.8,0.6
11.11,0.0,0.2
11.12,0.3,0.4
11.13,0.3,0.4
11.14,0.2,0.3
11.15,0.8,0.6
11.16,0.0,0.2
11.17,0.3,0.4
11.18,0.3,0.4
11.19,0.2,0.3
11.20,0.8,0.6
11.21,0.0,0.2
11.22,0.3,0.4
11.23,0.3,0.4
11.24,0.2,0.3
11.25,0.7,0.6
11.26,0.0,0.2
11.27,0.3,0.4
11.28,0.4,0.3
11.29,0.2,0.3
11.30,0.7,0.5
11.31,0.1,0.3
